,block,trialNum,flankers,rt,error
0,practice,1.0,incongruent,0.635328149016,False
3,practice,2.0,incongruent,0.485111832037,False
6,practice,3.0,congruent,0.49080430401999997,False
9,practice,4.0,congruent,0.384129173006,False
12,practice,5.0,congruent,0.395210718038,False
15,practice,6.0,congruent,0.36559070699100005,False
18,practice,7.0,incongruent,0.5413755900230001,False
21,practice,8.0,incongruent,0.617611491063,False
24,practice,9.0,incongruent,0.576720371027,False
27,practice,10.0,incongruent,0.538456017035,False
30,practice,11.0,congruent,0.500620054023,False
33,practice,12.0,congruent,0.502271735051,False
36,practice,13.0,incongruent,0.529018640053,False
39,practice,14.0,congruent,0.500519360008,False
42,practice,15.0,congruent,0.510329647048,False
45,practice,16.0,incongruent,0.439401127049,False
48,practice,17.0,incongruent,0.482288875035,False
51,practice,18.0,congruent,0.56251384801,False
54,practice,19.0,congruent,0.42374015902199996,False
57,practice,20.0,incongruent,0.50932031899,False
60,practice,21.0,incongruent,0.490870228037,False
63,practice,22.0,congruent,0.438473770977,False
66,practice,23.0,congruent,0.368404044013,False
69,practice,24.0,incongruent,0.424342380022,False
72,practice,25.0,incongruent,0.582399130042,False
75,practice,26.0,congruent,0.545978936076,True
78,practice,27.0,incongruent,0.617396429996,False
81,practice,28.0,incongruent,0.6061681479909999,False
84,practice,29.0,incongruent,0.453383718035,False
87,practice,30.0,congruent,0.5009271510059999,False
90,practice,31.0,congruent,0.523992922041,False
93,practice,32.0,congruent,0.512235496019,False
96,practice,33.0,congruent,0.8671647520389999,False
99,practice,34.0,congruent,0.383630645054,False
102,practice,35.0,incongruent,0.5256170870269999,False
105,practice,36.0,incongruent,0.504788418009,False
108,practice,37.0,incongruent,0.5812111290290001,False
111,practice,38.0,incongruent,0.554442538996,False
114,practice,39.0,incongruent,0.440954187012,False
117,practice,40.0,congruent,0.431860143028,False
120,practice,41.0,congruent,0.466993801994,False
123,practice,42.0,incongruent,0.456638918025,True
126,practice,43.0,incongruent,0.545187691052,False
129,practice,44.0,incongruent,0.518772361975,False
132,practice,45.0,congruent,0.46776392601899996,False
135,practice,46.0,congruent,0.454043769045,False
138,practice,47.0,congruent,0.43133724405199997,False
141,practice,48.0,congruent,0.37851637403899996,False
144,1,1.0,incongruent,0.49539438897,False
147,1,2.0,congruent,0.39495568099699996,False
150,1,3.0,congruent,0.407108833024,False
153,1,4.0,incongruent,0.5087268900240001,False
156,1,5.0,incongruent,0.334156230034,False
159,1,6.0,incongruent,0.517962384038,False
162,1,7.0,congruent,0.463123439054,False
165,1,8.0,congruent,0.41977536201,False
168,1,9.0,incongruent,0.5667919960109999,False
171,1,10.0,congruent,0.444168397982,False
174,1,11.0,incongruent,0.5714583510419999,False
177,1,12.0,incongruent,0.525247866055,False
180,1,13.0,congruent,0.543965613993,False
183,1,14.0,congruent,0.44047959405000003,False
186,1,15.0,congruent,0.409434483037,False
189,1,16.0,congruent,0.424395904061,False
192,1,17.0,incongruent,0.471097328991,False
195,1,18.0,incongruent,0.529741135018,False
198,1,19.0,congruent,0.41566584806400003,False
201,1,20.0,incongruent,0.454520198051,False
204,1,21.0,congruent,0.378703831055,False
207,1,22.0,incongruent,0.5161302849880001,False
210,1,23.0,incongruent,0.512115243997,False
213,1,24.0,congruent,0.582959357998,False
216,1,25.0,incongruent,0.49862392206,False
219,1,26.0,incongruent,0.542543698975,False
222,1,27.0,congruent,0.550007952028,False
225,1,28.0,incongruent,0.522523901076,False
228,1,29.0,congruent,0.413671092014,False
231,1,30.0,incongruent,0.547877275967,False
234,1,31.0,incongruent,0.585857927043,False
237,1,32.0,congruent,0.5096303080210001,False
240,1,33.0,incongruent,0.6304450980390001,False
243,1,34.0,congruent,0.479407557985,False
246,1,35.0,congruent,0.518659465015,False
249,1,36.0,incongruent,0.534569632029,False
252,1,37.0,congruent,0.590220059035,False
255,1,38.0,incongruent,0.591542308044,False
258,1,39.0,congruent,0.47517725400399996,False
261,1,40.0,congruent,0.617112509033,False
264,1,41.0,congruent,0.626693239028,False
267,1,42.0,congruent,0.573191944044,False
270,1,43.0,congruent,0.471632826026,False
273,1,44.0,incongruent,0.540116240969,False
276,1,45.0,incongruent,0.512965932023,False
279,1,46.0,incongruent,0.632621594006,False
282,1,47.0,congruent,0.432019644009,False
285,1,48.0,incongruent,0.526229236042,False
288,2,1.0,incongruent,0.642486169061,False
291,2,2.0,incongruent,0.47180422703999997,False
294,2,3.0,incongruent,0.48454290901999997,False
297,2,4.0,congruent,0.399733058002,False
300,2,5.0,congruent,0.393037838978,False
303,2,6.0,congruent,0.379684905987,False
306,2,7.0,congruent,0.377956748009,False
309,2,8.0,congruent,0.46096017805399997,False
312,2,9.0,incongruent,0.406815832073,False
315,2,10.0,congruent,0.34971447498499997,False
318,2,11.0,congruent,0.43768842303000005,False
321,2,12.0,incongruent,0.46499901003,False
324,2,13.0,incongruent,0.501169539057,False
327,2,14.0,congruent,0.516891197069,False
330,2,15.0,incongruent,0.530829875031,False
333,2,16.0,incongruent,0.5077212400500001,False
336,2,17.0,congruent,0.38549006002700004,False
339,2,18.0,incongruent,0.581965531048,False
342,2,19.0,congruent,0.466735703987,False
345,2,20.0,incongruent,0.38634753902400004,False
348,2,21.0,congruent,0.611052164983,False
351,2,22.0,incongruent,0.448174943042,False
354,2,23.0,congruent,0.415794366039,True
357,2,24.0,congruent,0.717580653029,False
360,2,25.0,incongruent,0.48754280799800004,False
363,2,26.0,congruent,0.654939723026,False
366,2,27.0,incongruent,0.5278293610320001,False
369,2,28.0,congruent,0.5455020860540001,False
372,2,29.0,congruent,0.509258599021,False
375,2,30.0,incongruent,0.464336635021,False
378,2,31.0,congruent,0.530748017016,False
381,2,32.0,incongruent,0.48782980401299997,False
384,2,33.0,congruent,0.43076319305699995,False
387,2,34.0,congruent,0.39425280800800006,False
390,2,35.0,congruent,0.442094359023,False
393,2,36.0,incongruent,0.5347643659920001,False
396,2,37.0,incongruent,0.56590672303,False
399,2,38.0,incongruent,0.5704045919699999,False
402,2,39.0,incongruent,0.486154719023,False
405,2,40.0,congruent,0.518792127026,False
408,2,41.0,incongruent,0.844916827045,False
411,2,42.0,congruent,0.495622859045,False
414,2,43.0,incongruent,0.476159436046,False
417,2,44.0,incongruent,0.612854745996,False
420,2,45.0,congruent,0.529661203036,False
423,2,46.0,congruent,0.389157455065,False
426,2,47.0,incongruent,0.517088266031,False
429,2,48.0,incongruent,0.573962432041,False
432,3,1.0,incongruent,0.714152493048,False
435,3,2.0,congruent,0.409225638025,False
438,3,3.0,incongruent,0.43530818802500004,False
441,3,4.0,incongruent,0.5098019570000001,False
444,3,5.0,congruent,0.544626271003,False
447,3,6.0,congruent,0.43787774501800003,False
450,3,7.0,congruent,0.333356848045,False
453,3,8.0,congruent,0.401773569058,False
456,3,9.0,congruent,0.479840688058,False
459,3,10.0,congruent,0.360773044988,False
462,3,11.0,incongruent,0.432618240011,False
465,3,12.0,incongruent,0.542884426017,False
468,3,13.0,congruent,0.428034109005,False
471,3,14.0,congruent,0.52060645906,False
474,3,15.0,incongruent,0.557009209995,False
477,3,16.0,incongruent,0.591208064987,False
480,3,17.0,congruent,0.444768697023,False
483,3,18.0,incongruent,0.445038785052,False
486,3,19.0,incongruent,0.554176302045,False
489,3,20.0,incongruent,0.519013896992,False
492,3,21.0,incongruent,0.5268817489850001,False
495,3,22.0,incongruent,0.522038739,False
498,3,23.0,incongruent,0.486879524018,False
501,3,24.0,congruent,0.527697108046,False
504,3,25.0,congruent,0.475107249978,False
507,3,26.0,congruent,0.520139859,False
510,3,27.0,congruent,0.39633482002,False
513,3,28.0,incongruent,0.630111808015,False
516,3,29.0,incongruent,0.47535134397900003,False
519,3,30.0,incongruent,0.508613952028,False
522,3,31.0,incongruent,0.426331758033,False
525,3,32.0,congruent,0.504026117036,False
528,3,33.0,congruent,0.770411330042,False
531,3,34.0,congruent,0.429564125021,False
534,3,35.0,incongruent,0.46606219198999993,False
537,3,36.0,incongruent,0.600800099026,False
540,3,37.0,incongruent,0.477696922026,False
543,3,38.0,congruent,0.516765973065,False
546,3,39.0,congruent,0.5029895770130001,False
549,3,40.0,incongruent,0.610796021007,False
552,3,41.0,congruent,0.470260592003,False
555,3,42.0,congruent,0.497541984019,False
558,3,43.0,congruent,0.5171300640209999,False
561,3,44.0,incongruent,0.525687455025,False
564,3,45.0,incongruent,0.45753441005900003,False
567,3,46.0,incongruent,0.5034586330290001,False
570,3,47.0,congruent,0.465475859062,False
573,3,48.0,congruent,0.451947611989,False
576,4,1.0,incongruent,0.5303887570629999,False
579,4,2.0,congruent,0.348337136034,False
582,4,3.0,incongruent,0.511728844023,False
585,4,4.0,congruent,0.6436711919960001,False
588,4,5.0,incongruent,0.355489307025,False
591,4,6.0,congruent,0.31039302703,False
594,4,7.0,incongruent,0.366910804994,True
597,4,8.0,congruent,0.529015325999,False
600,4,9.0,congruent,0.420692709042,False
603,4,10.0,incongruent,0.38235752901500003,False
606,4,11.0,incongruent,0.526893529983,False
609,4,12.0,congruent,0.42027228704,False
612,4,13.0,congruent,0.349550442013,False
615,4,14.0,congruent,0.32608599500999996,False
618,4,15.0,congruent,0.323075214983,False
621,4,16.0,incongruent,0.49566195299800003,False
624,4,17.0,congruent,0.424696994072,False
627,4,18.0,congruent,0.389743297012,False
630,4,19.0,incongruent,0.43784799001900004,False
633,4,20.0,incongruent,0.393129689037,False
636,4,21.0,incongruent,0.444210488058,False
639,4,22.0,congruent,0.47390844201399995,False
642,4,23.0,congruent,0.45199722103999995,False
645,4,24.0,congruent,0.382485782029,True
648,4,25.0,incongruent,0.500538855034,True
651,4,26.0,congruent,0.49737361504199995,False
654,4,27.0,incongruent,0.398931612028,False
657,4,28.0,incongruent,0.416175966035,False
660,4,29.0,incongruent,0.482833214046,False
663,4,30.0,incongruent,0.486582869024,False
666,4,31.0,incongruent,0.434025682043,False
669,4,32.0,incongruent,0.513190675003,False
672,4,33.0,congruent,0.422113283072,False
675,4,34.0,incongruent,0.69083892199,False
678,4,35.0,incongruent,0.459328469995,False
681,4,36.0,incongruent,0.491217414034,False
684,4,37.0,incongruent,0.5343441390429999,False
687,4,38.0,congruent,0.496974500013,False
690,4,39.0,congruent,0.45473842904899997,False
693,4,40.0,congruent,0.431584334001,False
696,4,41.0,congruent,0.456714286993,False
699,4,42.0,congruent,0.383733916038,False
702,4,43.0,incongruent,0.5851011230259999,False
705,4,44.0,congruent,0.48414477898,False
708,4,45.0,congruent,0.399835151038,False
711,4,46.0,incongruent,0.45500827301299995,False
714,4,47.0,congruent,0.656713516044,False
717,4,48.0,incongruent,0.507098483038,False
720,5,1.0,congruent,0.506676952995,False
